,Job Names,Company Name,Post Time,Location,Job Type,Exp Level,Years Of Exp,Job Skills
8066,Software Engineer (Python),Tam Development LLC ,1 month ago,"Riyadh, Saudi Arabia ",Full TimeWork From Home,Experienced,2 - 10 Yrs of Exp,IT/Software Development Engineering - Telecom/Technology Computer Science engineer Information Technology (IT) Software Development Software Engineering Software engineer Software Python
8067,Lab Assistant,Global Academic Foundation Hosting University of Hertfordshire UH ,1 month ago,"Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Administration Laboratory Medical Admin Assistant Administration
8068,Supply & Demand Manager,Sky Distribution ,1 month ago,"Sheikh Zayed, Giza, Egypt ",Full Time,Manager,8 - 12 Yrs of Exp,Logistics/Supply Chain Operations/Management Purchasing/Procurement analytical Purchasing Supply Chain excel Demand Planning Management
8069,Senior Architecture Engineer,NEW GIZA ,1 month ago,"6th of October, Giza, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,Engineering - Construction/Civil/Architecture Architecture engineer Engineering
8070,Procurement sourcing specialist,ariika ,1 month ago,"Obour City, Cairo, Egypt ",Full Time,Experienced,4 - 10 Yrs of Exp,Logistics/Supply Chain Manufacturing/Production Purchasing/Procurement negotiation skills Sourcing Supply Chain Supply Procurement Purchasing Negotiation
8071,Infrastructure Manager,NEW GIZA ,1 month ago,"6th of October, Giza, Egypt ",Full Time,Manager,15 - 20 Yrs of Exp,Engineering - Construction/Civil/Architecture Infrastructure Engineering
8072,Customer Care Agent - Assiut Branch,El Nahar for Medical Solutions ,1 month ago,"Assiut, Egypt ",Full Time,Entry Level,0 - 2 Yrs of Exp,Customer Service/Support Sales/Retail Customer Focus Customer Service Customer Care Customer Support
8073,Reception Manager,Rident Dental Center ,1 month ago,"Nasr City, Cairo, Egypt ",Full Time,Manager,4 - 7 Yrs of Exp,Medical/Healthcare Communication Communication skills Microsoft Office Management Customer Service Administration Reception Skills Office management
8074,Pre- K English Teacher,Egyptian British International School ,1 month ago,"Shorouk City, Cairo, Egypt ",Full Time,Experienced,2+ Yrs of Exp,Education/Teaching Education Teaching Communication Skills Science English Teaching English
8075,Accountant,El Nahar for Medical Solutions ,1 month ago,"Dokki, Giza, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,males_only Accounting/Finance Accounting Finance Financial Analysis Financial Management MS Office Accounting principles
8076,Export Operations Logistics Specialist (Reefer- Freight Forwarder),El Banna Group Company ,1 month ago,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,5 - 8 Yrs of Exp,Logistics/Supply Chain Operations/Management Purchasing/Procurement Logistics Export Shipping Supply Chain Ocean Freight fregiht ocean transeportaion
8077,Junior Logistics Specialist,T&D Design ,1 month ago,"New Cairo, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,Logistics/Supply Chain Operations/Management Import Logistics Shipping
8078,Backend Developer,EPTI  ,1 month ago,"Dokki, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,IT/Software Development Project/Program Management Engineering - Telecom/Technology Computer Science Information Technology (IT) SQL Software Development Microsoft Windows Server Database SQL Server HTML
8079,Export support specialist,Egypt Kuwait Holding ,1 month ago,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,Logistics/Supply Chain Support Services Export
8080,Sales (Service provider),NOK for Human Capital Solutions ,1 month ago,"Maadi, Cairo, Egypt ",Full Time,Experienced,1 - 8 Yrs of Exp,Sales/Retail English Sales sales skills Sales Target Business Development Communication Communication skills Administration Negotiation
8081,Internal Auditor,Tanmeyah ,1 month ago,"Cairo, Egypt ",Full Time,Experienced,1 - 4 Yrs of Exp,Other Accounting Auditing auditor Internal auditor
8082,Human Resources Generalist,LINK Development ,1 month ago,"Riyadh, Saudi Arabia ",Full Time,Experienced,3 - 5 Yrs of Exp,Human Resources IT/Software Development Human Resources (HR) HR HR generalist Human Resources Management Payroll Personnel Recruitment
8083,Mechanical Production Engineer,TEPCO S.A.E. ,1 month ago,"6th of October, Giza, Egypt ",Full Time,Entry Level,2 - 3 Yrs of Exp,Manufacturing/Production Engineering - Mechanical/Electrical Engineering - Other Manufacturing Engineering Production Engineering Mechanical production Engineering Mechanical Production CNC Autodesk Inventor
8084,(PE Teacher) Physical Education Teacher,GEMS Education ,1 month ago,"Rehab City, Cairo, Egypt ",Full Time,Experienced,2 - 7 Yrs of Exp,Sports and Leisure Education/Teaching Education Teaching B.Ed School Physical Education (PE) International Curriculum International Curriculum
8085,Lawyer,Confidential ,1 month ago,"Sheikh Zayed, Giza, Egypt ",Full Time,Experienced,8 - 10 Yrs of Exp,Administration Legal criminal Law lawyer Legal
8086,Technical Writer,Grifols Egypt for Plasma Derivatives ,1 month ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,4 - 6 Yrs of Exp,Administration Writing/Editorial Technical Writing Documentation Writing Pharmaceutical SOPS
8087,R&D Hardware Engineer,Elaraby Group ,1 month ago,"Banha, Qalubia, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,R&D/Science Manufacturing/Production Engineering - Mechanical/Electrical PCB Design Matlab Proteus Design Multisim EAGLE Ltspice
8088,Senior Front End Developer,Confidential ,1 month ago,"Mohandessin, Giza, Egypt ",Full Time,Experienced,3 - 7 Yrs of Exp,IT/Software Development Engineering - Telecom/Technology Software Engineering Angular Computer Science
8089,DevOps Team Lead,Confidential ,1 month ago,"Mohandessin, Giza, Egypt ",Full Time,Manager,5+ Yrs of Exp,IT/Software Development Engineering - Other AWS Azure Computer Science DevOps Docker Information Technology (IT) Leadership Management
