,Job Names,Company Name,Post Time,Location,Job Type,Exp Level,Years Of Exp,Job Skills
3072,Principal Engineer,SellAnyCar ,15 days ago,"Dubai, United Arab Emirates ",Full Time,Not specified,Customer Service/Support,IT/Software Development Engineering - Telecom/Technology Information Technology (IT) Computer Science Engineering Telecommunication Software Engineering Software Development Mechatronics
3073,Sales Associate Trainee - Tamheer,Sary Technologies ,15 days ago,"Riyadh, Saudi Arabia ",Full Time,Not specified,Business Development,Customer Service/Support Sales/Retail Sales Skills Sales Target Sales Customer Service Outdoor Sales Real Estate Property
3074,TURNOVER MANAGER,Profile Middle East LLC. ,15 days ago,"Sharjah, United Arab Emirates ",Full Time,Not specified,Customer Service/Support,Human Resources Business Employees Database Human Resources (HR) Management Personnel HR Recruitment Project Management
3075,Sales Engineer (Jeddah),Rawabi Holding ,15 days ago,"Jeddah, Saudi Arabia ",Full Time,Not specified,Sales/Retail,Engineering - Telecom/Technology Engineering - Mechanical/Electrical Sales Sales Skills Engineering Sales Target Mechanical Engineering Electrical Engineering Customer Service
3076,BUSINESS DEVELOPMENT MANAGER,Profile Middle East LLC. ,15 days ago,"Abu Dhabi, United Arab Emirates ",Full Time,Not specified,Business Development,Marketing/PR/Advertising Sales/Retail Business Development Sales Sales Skills Sales Target Marketing Customer Service Customer Support
3077,Contact Centre Supervisor and Sales Support,BEOND ,15 days ago,"Dubai, United Arab Emirates ",Full Time,Not specified,Business Development,Customer Service/Support Sales/Retail sales sales skills customer service customer support training sales support security
3078,Technical Project Manager,BNB Chain ,15 days ago,"Dubai, United Arab Emirates ",Full Time,Not specified,Engineering - Construction/Civil/Architecture,IT/Software Development Project/Program Management Project Management Engineering Information Technology (IT) PMP Computer Science Civil Engineering Management
3079,Director of Public Relations & Communications,Four Seasons Hotels and Resorts ,15 days ago,"Doha, Qatar ",Full Time,Not specified,Administration,Marketing/PR/Advertising Media/Journalism/Publishing Public Relations (PR) Marketing Media Social Media PR Microsoft Office Communication Skills
3080,Senior ABAP/Fiori Consultant,IBM WTC Egypt ,15 days ago,"Cairo, Egypt ",Full Time,Not specified,IT/Software Development,Logistics/Supply Chain Engineering - Telecom/Technology sap information technology (it) computer science abap engineering implementation software
3081,Examiner-in-Charge/Certified Insurance Examiner CIE/ MCM (Full-time Remote),Intaratalent ,15 days ago,"Alexandria, Egypt ",Full TimeWork From Home,Not specified,Accounting/Finance,Sales/Retail Education/Teaching examiners examiner examinations examination procedures
3082,Human Resource,Eram Talent ,15 days ago,"Riyadh, Saudi Arabia ",Full Time,Not specified,Administration,Human Resources Operations/Management Human Resources (HR) Recruitment Microsoft Office Personnel HR Payroll Administration
3083,Senior Security Project Manager,Gulf Business Machines PND ,15 days ago,"Riyadh, Saudi Arabia ",Full Time,Not specified,IT/Software Development,Project/Program Management Engineering - Telecom/Technology Project Management Information Technology (IT) Computer Science PMP Engineering Management Computer Engineering
3084,Application Developer-Process Management (BPM),IBM WTC Egypt ,15 days ago,"Cairo, Egypt ",Full Time,Not specified,IT/Software Development,Operations/Management Engineering - Telecom/Technology Information Technology (IT) Computer Science Computer Engineering Software Development Software Engineering Applications Development Management Applications Development Team Lead
3085,Chief Accountant,Agile Consultants ,15 days ago,"Dubai, United Arab Emirates ",Full Time,Not specified,Accounting/Finance,Banking Operations/Management Finance Accounting Financial Management Financial Analysis Microsoft Office Commerce ERP
3086,Firearms Specialist,Fleet Farm ,15 days ago,"Alexandria, Egypt ",Full Time,Not specified,Training/Instructor,firearms firearm gun ammunition retail
3087,Tax and Audit Compliance Coordinator - Head Office,Fundamental Hospitality ,15 days ago,"Dubai, United Arab Emirates ",Full Time,Not specified,Accounting/Finance,Operations/Management Quality accounting finance financial analysis financial management tax quality taxation
3088,Lifting Specialist Sub-Sea Structures,Applus+ ,15 days ago,"Doha, Qatar ",Full Time,Not specified,Operations/Management,Sales/Retail Purchasing/Procurement customer service customer care customer support indoor sales operations communication skills engineering
3089,Retail Merchandising & Inventory Supervisor,"Staples, Inc. ",15 days ago,"Alexandria, Egypt ",Full Time,Not specified,Marketing/PR/Advertising,Sales/Retail Fashion Retail Sales Merchandising Fashion Visual Merchandising Sales Skills Marketing
3090,Civil Engineer Level II,Worley group ,15 days ago,"Doha, Qatar ",Full Time,Not specified,Engineering - Construction/Civil/Architecture,IT/Software Development Engineering - Telecom/Technology engineering civil engineering construction architecture civil quality technical support
3091,Customer Service Delivery Manager Egypt - Cairo - Orange Business,Orange Digital Ventures ,15 days ago,"Cairo, Egypt ",Full Time,Not specified,Customer Service/Support,IT/Software Development Operations/Management Customer Service Customer Support Customer Care Call Center Management Information Technology (IT) Operations
3092,Associate II - Broking,Marsh McLennan ,15 days ago,"Dubai, United Arab Emirates ",Full Time,Not specified,IT/Software Development,Project/Program Management Engineering - Telecom/Technology information technology (it) computer science project management microsoft office communication skills communication english
3093,"Senior Examiner / Accredited Insurance Examiner AIE / CIE (Full-time, Remote)",Intaratalent ,15 days ago,"Alexandria, Egypt ",Full TimeWork From Home,Not specified,Accounting/Finance,accounting finance financial analysis financial management
3094,General Pants Designer (12-Month Maternity Cover),General Pants Co. ,15 days ago,"Alexandria, Egypt ",Full Time,Not specified,IT/Software Development,Marketing/PR/Advertising Engineering - Telecom/Technology information technology (it) computer science marketing engineering design sales construction
3095,Apply for a job at Deriv at Ru’ya Careers UAE 2023,Deriv Limited ,15 days ago,"Dubai, United Arab Emirates ",Full Time,Not specified,IT/Software Development,Sales/Retail Engineering - Telecom/Technology deriv trading uae certified dubai
3096,Package Consultant-SAP SCM PP,IBM WTC Egypt ,15 days ago,"Cairo, Egypt ",Full Time,Not specified,Installation/Maintenance/Repair,IT/Software Development Engineering - Telecom/Technology SAP Computer Science Information Technology (IT) Computer Engineering Information Technology PP QM
3097,Accountant,SellAnyCar ,15 days ago,"Dubai, United Arab Emirates ",Full Time,Not specified,Accounting/Finance,Administration Banking Accounting Finance Financial Analysis Financial Management Microsoft Office Commerce Microsoft Excel
3098,Senior Merchandise Planner,General Pants Co. ,15 days ago,"Alexandria, Egypt ",Full Time,Not specified,Customer Service/Support,Logistics/Supply Chain Sales/Retail Sales Microsoft Office Customer Service Logistics Merchandising Planning Sales Skills
3099,Project Engineering Manager(Offshore Project),Worley group ,15 days ago,"Doha, Qatar ",Full Time,Not specified,Engineering - Construction/Civil/Architecture,IT/Software Development Project/Program Management Project Management Engineering Civil Engineering Information Technology (IT) Computer Science Construction PMP
3100,Receivables and debt collector,Tafaseel Group ,15 days ago,"Ajman, United Arab Emirates ",Full Time,Not specified,Accounting/Finance,Customer Service/Support Sales/Retail accounting finance financial analysis financial management collection communication skills accounts receivable
3101,Accountant,Rawabi Holding ,15 days ago,"Riyadh, Saudi Arabia ",Full Time,Not specified,Accounting/Finance,Administration Banking Accounting Finance Financial Analysis Financial Management Microsoft Office Commerce Microsoft Excel
3102,Senior Fullstack Java Developer,IBM WTC Egypt ,15 days ago,"Cairo, Egypt ",Full Time,Not specified,Creative/Design/Art,IT/Software Development Engineering - Telecom/Technology Information Technology (IT) Computer Science Java Software Development javaScript Software Engineering SQL
3103,Credit Control Officer,Alkifahcont ,15 days ago,"Riyadh, Saudi Arabia ",Full Time,Not specified,Accounting/Finance,Banking Quality Finance Accounting Financial Analysis Credit Credit Control Microsoft Excel Financial Management
3104,Assistant Reservations Manager,Mandarin Oriental Hotel Group Limited ,15 days ago,"Dubai, United Arab Emirates ",Full Time,Not specified,Administration,Operations/Management Sales/Retail Administration Microsoft Office Office Management Secretary Sales Admin Customer Service
3105,Communication Manager,PRM ,15 days ago,"Dubai, United Arab Emirates ",Full Time,Not specified,Administration,Operations/Management Sales/Retail Communication Skills Microsoft Office Management Communication Administration Office Management English
3106,Security Analyst,Gulf Business Machines PND ,15 days ago,"Riyadh, Saudi Arabia ",Full Time,Not specified,IT/Software Development,Analyst/Research Engineering - Telecom/Technology Information Technology (IT) Computer Science Security Engineering Administration Analysis Business Analysis
3107,Test Specialist: Packages,IBM WTC Egypt ,15 days ago,"Cairo, Egypt ",Full Time,Not specified,IT/Software Development,Quality Purchasing/Procurement Packaging Computer Science Information Technology (IT) Procurement Purchasing Quality Testing
3108,Package Consultant-SAP HANA FIN FI,IBM WTC Egypt ,15 days ago,"Cairo, Egypt ",Full Time,Not specified,Accounting/Finance,IT/Software Development Engineering - Telecom/Technology sap information technology (it) computer science abap engineering ibm planning
3109,"Civil/Structural Engineer Abu Dhabi, U.A.E.","IAP Worldwide Services, Inc ",15 days ago,"Abu Dhabi, United Arab Emirates ",Full Time,Not specified,Engineering - Construction/Civil/Architecture,C-Level Executive/GM/Director Engineering - Oil & Gas/Energy .net agille angular c# startup
3110,Outsourced Accountant,AccouConsult ,15 days ago,"Dubai, United Arab Emirates ",Full Time,Not specified,Accounting/Finance,Administration Human Resources accounting finance commerce financial analysis vat accounting software bookkeeping
3111,10 Maintenance Technician- ULTRA LUXURY HOTEL - SAUDI,AL AMAL BUSINESS SOLUTIONS ,15 days ago,"Riyadh, Saudi Arabia ",Full Time,Not specified,Hospitality/Hotels/Food Services,Installation/Maintenance/Repair Operations/Management engineering hvac hotels bms maintenance repair
3112,Colleague Experience Coordinator,Mandarin Oriental Hotel Group Limited ,15 days ago,"Dubai, United Arab Emirates ",Full Time,Not specified,IT/Software Development,Marketing/PR/Advertising Sales/Retail microsoft office sales engineering sales skills administration management design
3113,Global Supply Planning Manager,Huda Beauty ,15 days ago,"Dubai, United Arab Emirates ",Full Time,Not specified,Administration,Logistics/Supply Chain Sales/Retail supply chain logistics microsoft office sales management planning production
3114,Project Engineering Manager(Offshore Project),Worley Parsons ,15 days ago,"Doha, Qatar ",Full Time,Not specified,Engineering - Construction/Civil/Architecture,IT/Software Development Project/Program Management Project Management Engineering Civil Engineering Information Technology (IT) Computer Science Construction PMP
3115,General Practitioner.Emergency Medicine.Medcare Hospital (Br),Aster DM Healthcare ,15 days ago,"Dubai, United Arab Emirates ",Full Time,Not specified,R&D/Science,Operations/Management Medical/Healthcare medical medicine healthcare doctor
3116,Guest Service Agent,Rotana Hotel Management Corporation ,15 days ago,"Abu Dhabi, United Arab Emirates ",Full Time,Not specified,Customer Service/Support,Sales/Retail Tourism/Travel Customer Service Customer Care Customer Support Call Center Communication Skills English Sales
3117,Sales Specialistl,Egyptian Integration ,15 days ago,"New Cairo, Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,males_only IT/Software Development Sales/Retail Outdoor Sales Sales
3118,IT Manager- Sap User,Confidential ,15 days ago,"Obour City, Cairo, Egypt ",Full Time,Manager,12 - 15 Yrs of Exp,IT/Software Development Operations/Management Engineering - Telecom/Technology Administration Analysis computer Computer Hardware Computer Science Information Technology (IT) IT
3119,developer specialized,ACML ,15 days ago,"Bolkly, Alexandria, Egypt ",Part TimeFreelance / Project,Experienced,2 - 5 Yrs of Exp,IT/Software Development IT Service Management Software Development
3120,Sports Editor,Sarmady ,15 days ago,"Giza, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,Writing/Editorial Media/Journalism/Publishing Editing Sports Storytelling Video Editing Adobe Premiere
3121,Senior Digital Marketing Executive,Seldar Egypt ,15 days ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,IT/Software Development Marketing/PR/Advertising Content Digital Marketing E-Marketing Marketing media Digital Social Media Real Estate
3122,Account Officer,Hany Mazhar Group ,15 days ago,"Katameya, Cairo, Egypt ",Full Time,Experienced,1 - 4 Yrs of Exp,Accounting/Finance Account officer Accounting Accounts Payable Administration Business Administration Customer Service Finance Marketing Microsoft Office
3123,Sales Executive,Hany Mazhar Group ,15 days ago,"Katameya, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,males_preferred Sales/Retail Executive Marketing Marketing executive Sales sales skills Sales Target
3124,HR Operation Specialist.,Premium Card ,15 days ago,"Dokki, Giza, Egypt ",Full Time,Experienced,1 - 2 Yrs of Exp,Human Resources Human Resources (HR) Personnel HR HR Training
3125,QC Engineer,TMA For Industrial Supplies ,15 days ago,"Nasr City, Cairo, Egypt ",Full Time,Experienced,4 - 8 Yrs of Exp,males_only Project/Program Management Quality Engineering - Mechanical/Electrical Engineering Electrical Industrial Project Management Quality Control Quality Management QC
3126,"Cluster Academic Manager, Adults",British Council ,15 days ago,"Cairo, Egypt ",Full Time,Manager,Education/Teaching,Delta English Teaching
3127,3D Exhibition Designer,Solution Co. ,15 days ago,"Giza, Giza, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,Creative/Design/Art 3D Design AutoCAD Microsoft Office Fine Arts 3d max Interior Design Events Organizing 3D Design
3128,Call Center Agent,Dawi Clinics ,15 days ago,"Maadi, Cairo, Egypt ",Full Time,Entry Level,2 - 3 Yrs of Exp,Medical/Healthcare Call Center Customer Care Customer Service Customer Support English Medical Speaking Writing
3129,Talent Management Specialist,Fine Hygienic Holding ,15 days ago,"6th of October, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Human Resources Human Resources Communication Microsoft Office Talent Recruitment Talent management
3130,Senior Sales Account Manager - Software,appcorp ,15 days ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,males_only IT/Software Development Sales/Retail Sales Sales Target Communication skills Account Management Sales Skills Microsoft Office English
3131,Learning and Development Manager,Premier Services and Recruitment Overseas  ,15 days ago,"Maadi, Cairo, Egypt ",Full Time,Manager,7 - 10 Yrs of Exp,Human Resources Training Human Resources (HR) Training of Trainers
3132,Associate Business Researcher,Confidential ,15 days ago,"Nasr City, Cairo, Egypt ",Full Time,Entry Level,0 - 2 Yrs of Exp,Business Development Marketing/PR/Advertising Analyst/Research Market Research Consulting Research Business Development
3133,Sales Representative - Airlines & Travel Agency,ITC Group ,15 days ago,"Cairo, Egypt ",Full Time,Experienced,1 - 2 Yrs of Exp,Sales/Retail Tourism/Travel Sales Sales Skills Travel Airline Outdoor Sales Sales Target
3134,CEO Personal Assistant,Confidential ,15 days ago,"Mohandessin, Giza, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,Administration Operations/Management Office management Secretary English Microsoft Office administrative Communication personal assistant
3135,Vehicle Quality Control,ECRAL ,15 days ago,"Nasr City, Cairo, Egypt ",Full Time,Experienced,3 - 4 Yrs of Exp,Quality Tourism/Travel Quality Control Fleet quality Skills
3136,Medical Sales Representative,Nano Tech ,15 days ago,"Dokki, Giza, Egypt ",Full Time,Experienced,2 - 6 Yrs of Exp,R&D/Science Medical/Healthcare Sales/Retail Medical Sales Science Sales Target sales skills sales representative product specialist
3137,Senior Recruitment Manager,Premier Services and Recruitment Overseas  ,15 days ago,"Maadi, Cairo, Egypt ",Full Time,Manager,10+ Yrs of Exp,Human Resources Experience Human Resources Recruitment Human Resources (HR) Supervision
3138,Teacher PE Junior School,"British International School, Cairo ",15 days ago,"Giza, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,females_preferred Education/Teaching Physical Education Teaching Education PE
3139,Procurement Specialist,Al Ahly Medical Company ,15 days ago,"Giza, Giza, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,Logistics/Supply Chain Medical/Healthcare Purchasing/Procurement Medical Purchasing Procurement Supply Chain Logistics
3140,Receptionist,Crowe Egypt ,15 days ago,"Dokki, Giza, Egypt ",Full Time,Experienced,1 - 2 Yrs of Exp,females_only Administration Administration Front Desk Microsoft Office Office Management Receptionist Front Office Arabic English Bookkeeping
3141,Merchandiser (Ready Made Garment),Confidential ,15 days ago,"Bourj Alarab, Alexandria, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,Manufacturing/Production Production Sales Textile Merchandising English Commerce
3142,Odoo Implementer,Parkville Pharmaceuticals ,15 days ago,"Giza, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,IT/Software Development Odoo ERP
3143,Printing Digital Operator (Designer).,INDEVCO ,15 days ago,"Giza, Egypt ",Full Time,Experienced,3 - 6 Yrs of Exp,Manufacturing/Production Communication skills Printing Manufacturing
3144,Technical office Engineer - Furniture,Amr Helmy Designs ,15 days ago,"Maadi, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,Creative/Design/Art Manufacturing/Production Engineering - Mechanical/Electrical Furniture HOME FURNITURE Applied Arts Mechanical Engineering Engineering Arts Manufacturing
3145,Production Engineer,Misr Al Watanya ,15 days ago,"Belbes, Sharqia, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,males_only Manufacturing/Production Engineering - Other Engineering Manufacturing Production Production engineer Food Production Food Manufacturing Food Science
3146,Sales Executive ( real estate ),High Art ,15 days ago,"Cairo, Egypt ",Full Time,Entry Level,1 - 4 Yrs of Exp,Business Development Customer Service/Support Sales/Retail Sales Target sales skills Sales Customer Service Communication
3147,receptionist & customer service,Hi,15 days ago,"Nasr City, Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,Administration Customer Service/Support Front Office Customer Service receptionist
3148,Accountant - Alexandria,Arab Shipping and Trading Group ,15 days ago,"Mansheya, Alexandria, Egypt ",Full Time,Experienced,2 - 8 Yrs of Exp,Accounting/Finance Accounting Finance Commerce Financial Management Financial Analysis Transactions AR Account Recevable Account Payable
3149,Accountant,Confidential ,15 days ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Accounting/Finance Banking Business Development Accounting Finance Financial Analysis MS MS Excel Tax ERP System
3150,Junior Architectural Designer,NAB ,15 days ago,"Sheikh Zayed, Giza, Egypt ",Full Time,Entry Level,0 - 2 Yrs of Exp,Creative/Design/Art Adobe Creative Suite AutoCAD Creative Design Architectural Design sketchup Revit
3151,Senior Architect,NAB ,15 days ago,"Sheikh Zayed, Giza, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,Engineering - Construction/Civil/Architecture AutoCAD Revit Architecture
3152,Center Quality Manager,Grifols Egypt for Plasma Derivatives ,15 days ago,"Port Said, Egypt ",Full Time,Manager,5 - 7 Yrs of Exp,Quality Environment Health Management quality Quality Assurance Science Medical
3153,Human Resource Administrator,Rockal ,15 days ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 6 Yrs of Exp,Engineering - Other HR Human Resources
3154,junior Tendering Engineer,Delta Egypt For Lighting  ,15 days ago,"Obour City, Cairo, Egypt ",Full Time,Entry Level,0 - 2 Yrs of Exp,Engineering - Telecom/Technology Engineering - Mechanical/Electrical Engineering Electrical Engineering Tender Microsoft Word Microsoft Excel Microsoft Office Robertson Electric Manufacturing
3155,Senior Cost Control / Engineer,Elgabaly Architects ,15 days ago,"New Cairo, Cairo, Egypt ",Full Time,Senior Management,8 - 15 Yrs of Exp,Accounting/Finance Operations/Management Quality Cost Controlling Project Cost Planning Cost Engineering Scheduling Quality Control
3156,Digital Marketing Specialist,iproperties ,15 days ago,"New Cairo, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,Marketing/PR/Advertising Media/Journalism/Publishing Microsoft Office Digital Marketing Marketing Data Entry Media Social Media Marketing Campaigns Typing
3157,Digital Marketing Manager,Sky Distribution ,15 days ago,"Sheikh Zayed, Giza, Egypt ",Full Time,Manager,9 - 15 Yrs of Exp,Marketing/PR/Advertising Marketing Marketing Campaigns Google Analytics Market Research Creative Digital Marketing E-Marketing SEM SEO
3158,Videographer And Video Editor,Chema Foam ,15 days ago,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,4 - 8 Yrs of Exp,Creative/Design/Art Marketing/PR/Advertising Media/Journalism/Publishing Video Editing Videography Adobe After Effects Editing Final Cut Adobe Photoshop Digital Technology
3159,Unit Doctor (Hematology / Cytogenetics),IDH ,15 days ago,"Dokki, Giza, Egypt ",Full Time,Manager,3 - 10 Yrs of Exp,"Medical/Healthcare Health, Safety, Security and Environment doctor"
3160,Office Manager (French Speaker),COLAS RAIL Egypt ,15 days ago,"Cairo, Egypt ",Full Time,Experienced,4 - 10 Yrs of Exp,Administration Project/Program Management Administration Communication skills Microsoft Office English Management Project Management
3161,HR Specialist,Spinneys Egypt ,15 days ago,"Nasr City, Cairo, Egypt ",Full Time,Experienced,2+ Yrs of Exp,Human Resources HR HR Specialist Human Resources (HR) Personnel Recruitment specialist Microsoft Office English
3162,Operations Manager - Training Industry,SYE English Community ,15 days ago,"Dokki, Giza, Egypt ",Full Time,Manager,7+ Yrs of Exp,Customer Service/Support Operations/Management Sales/Retail Training Institutions Training Center Educational Center Management Customer Care Sales Operations
3163,Outdoor Sales Representative,Power Solutions ,15 days ago,"6th of October, Giza, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,Sales/Retail Sales Sales Skills Outdoor Sales Sales Target Call Center Customer Service Customer Care Customer Support Oil &amp; Gas
3164,Sales supervisor B2B,Confidential ,15 days ago,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,3 - 7 Yrs of Exp,Sales/Retail CRM Communication sales skills English B2B Microsoft Sales Sales Target
3165,Real Estates Team Leader,Concrete properties ,15 days ago,"Giza, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,Customer Service/Support Sales/Retail Sales Sales Target Real Estate Leadership team leader
3166,Account Manager,Rockal ,15 days ago,"Nasr City, Cairo, Egypt ",Full Time,Entry Level,0 - 1 Yrs of Exp,females_only Customer Service/Support Sales/Retail CRM Sales Skills Sales Market Research Customer Support Business Development Corporate Sales B2B
3167,Sales Admin,Maalem,15 days ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,females_only Administration Customer Service/Support Sales/Retail Administration Sales Admin sales skills Sales admin Negotiation Communication
3168,Foundation Stage & Junior School Music teacher,"British International School, Cairo ",15 days ago,"Giza, Egypt ",Part Time,Experienced,2 - 3 Yrs of Exp,Education/Teaching Education School teacher Teaching
3169,Operations Specialist - Port Said,Naqla ,15 days ago,"Sharq, Port Said, Egypt ",Full TimeShift Based,Entry Level,1 - 2 Yrs of Exp,males_only Customer Service/Support Logistics/Supply Chain Operations/Management Logistics Microsoft Operations
3170,Marketing/sales specialist,Millensys ,15 days ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Medical/Healthcare Marketing Sales sales skills Microsoft Office
3171,Customer Service Representative - ((Chat Account )),Etisalat Egypt ,15 days ago,"Maadi, Cairo, Egypt ",Full Time,Entry Level,0 - 10 Yrs of Exp,Customer Service/Support Customer Service Customer Care
3172,Junior System Engineer, Roaya ,15 days ago,"Maadi, Cairo, Egypt ",Full Time,Experienced,1 - 2 Yrs of Exp,Installation/Maintenance/Repair IT/Software Development Engineering - Telecom/Technology CCNA MCSE PowerShell Linux Vmware Microsoft Exchange Mail Flow
3173,Senior Businesss Analyst,PSH ,15 days ago,"Maadi, Cairo, Egypt ",Full Time,Experienced,3 - 6 Yrs of Exp,IT/Software Development Analyst/Research Engineering - Telecom/Technology Agile Analysis Analyst business Business Analysis Computer Science Engineering
3174,Office Manager,Confidential ,15 days ago,"Nasr City, Cairo, Egypt ",Full Time,Experienced,2+ Yrs of Exp,Administration Secretary Administration Admin Assistant Office Management CRM Microsoft Office
3175,Administrative Assistant,Integrated Technology Group ,15 days ago,"Heliopolis, Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,Administration Operations/Management Admin Assistant Office management Secretary Communication
3176,Telesales Agent - English Account ((Fixed Morning Shifts 8 to 5 ),Etisalat Egypt ,15 days ago,"Cairo, Egypt ",Full Time,Entry Level,0 - 10 Yrs of Exp,Customer Service/Support Sales/Retail Customer Service sales skills Sales Telesales
3177,Front End Developer( Angular),DX Republic ,15 days ago,"Cairo, Egypt ",Full Time,Experienced,3 - 7 Yrs of Exp,IT/Software Development Engineering - Telecom/Technology developer Computer Science computer Front-End Developer front-end Software Development Information Technology (IT)
3178,chief Accountant,EDECS El Dawlia for Engineering & Contracting ,15 days ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,10 - 15 Yrs of Exp,Accounting/Finance Banking Operations/Management Accounting Financial Management Accounting principles Accounting Software analytical CPA CMA
3179,RCM Specialty Doctor (Physician with Master Degree Only),MEAHCO ,15 days ago,"Cairo, Egypt ",Full Time,Experienced,3 - 6 Yrs of Exp,Medical/Healthcare Insurance Medical Orthopedic medicine Cardiology doctor performance Revenu Cycle Managment
3180,Sales Manager,Lumin ,15 days ago,"Sheikh Zayed, Giza, Egypt ",Full Time,Experienced,10 - 15 Yrs of Exp,Operations/Management Sales/Retail Sales Sales Skills Corporate Sales Banking Negotiation Sales Target Sales Planning Sales Leads
3181,Branch Manager,quick connect ,15 days ago,"Dokki, Giza, Egypt ",Full Time,Experienced,1 - 5 Yrs of Exp,males_only Logistics/Supply Chain Shipping Logistics Operations Logistics Management
3182,Procurement Engineer,Power Solutions ,15 days ago,"6th of October, Giza, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,females_only Logistics/Supply Chain Purchasing Supply Chain Logistics Procurement
3183,Flash Animator,Dolf ,15 days ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,2+ Yrs of Exp,Creative/Design/Art IT/Software Development Marketing/PR/Advertising Web Design Adobe Photoshop Adobe Illustrator Adobe Indesign Adobe Flash Adobe Dreamweaver Adobe After Effect
3184,Senior Architect Designer,Lecon ,15 days ago,"Cairo, Egypt ",Full TimeWork From Home,Experienced,7+ Yrs of Exp,Engineering - Construction/Civil/Architecture Creative/Design/Art IT/Software Development 3ds Max Adobe Photoshop Architecture AutoCAD Design Revit Architectural Design
3185,Graphic Designer Intern ( Paid Internship),Nerva ,15 days ago,"Abdeen, Cairo, Egypt ",Internship,Entry Level,Creative/Design/Art,Marketing/PR/Advertising Adobe Photoshop Design illustrator indesign Software Graphic photoshop
3186,Seller indoor at store,Carnival Trading ,15 days ago,"Mansheya, Alexandria, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,Customer Service/Support Marketing/PR/Advertising Sales/Retail Marketing Sales sales skills Sales Target
3187,Facility Manager,Apleona ,15 days ago,"Nasr City, Cairo, Egypt ",Full Time,Manager,6 - 15 Yrs of Exp,Operations/Management facilities facilities management Facility Management Facility
3188,BMW Sales Consultant,GLOBAL AUTO ,15 days ago,"Katameya, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,Sales/Retail Negotiation Real Estate sales skills Sales Sales Target Experience
3189,Export Manager,Growth chem for Advanced chemicals ,15 days ago,"Alexandria, Egypt ",Full Time,Manager,3+ Yrs of Exp,Logistics/Supply Chain Operations/Management Engineering - Other Export exporting Logistics Export Sales
3190,Contract Engineer,Confidential ,15 days ago,"Mohandessin, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Engineering - Construction/Civil/Architecture Contract Administration Contracting Contract Engineering Construction Communication skills
3191,Drama Teacher,Creative Education International (CrEd) ,15 days ago,"Cairo, Egypt ",Part Time,Entry Level,Education/Teaching,Training/Instructor Education Performing arts Teaching Drama
3192,Outgoing Tour Operator,Safa International Travel ,15 days ago,"Dokki, Giza, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,Customer Service/Support Sales/Retail Tourism/Travel Management Travel Tourism Customer Support Customer Service Tour Operator Travel Sales
3193,Travel Advisor -,Safa International Travel ,15 days ago,"Dokki, Giza, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,Customer Service/Support Operations/Management Sales/Retail Call Center Amadeus Customer Customer Care Customer Service Customer Support gds
3194,Airline Fulfillment Specialist,Safa International Travel ,15 days ago,"Dokki, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,males_only Customer Service/Support Operations/Management Tourism/Travel Amadeus Airlines Customer Care Customer Support Refund Tourism Galileo
